Variety Target,(All),,,
Region,(All),,,
,,,,
,Values,Stock Location,,
,Sum of Variety Target,Sum of Valid SKU,,
Assortment Group,P385,P385,Allocated,New VT
W_AJILE_ACTIVE _BOTTOM,0,0,0,0
W_AJILE_ACTIVE_BOTTOM,0,0,0,0
W_AJILE_ACTIVE_BRA,0,0,0,0
W_AJILE_ACTIVE_T SHIRT,0,0,0,0
W_AJILE_BOTTOM,16,1,15,1
W_AJILE_CASUAL_T SHIRT,24,2,24,0
W_AJILE_CORE PLUS_ T SHIRT,10,0,0,10
W_AJILE_CORE PLUS_CAPRI,0,0,0,0
W_AJILE_CORE PLUS_JOGGERS,3,0,0,3
W_AJILE_CORE PLUS_SHORTS,3,0,0,3
W_AJILE_CORE PLUS_TANKTOP,0,0,0,0
W_AJILE_CORE PLUS_TIGHTS,0,0,0,0
W_AJILE_CORE PLUS_TRACKPANTS,0,0,0,0
W_AJILE_FFB_ACTIVE_T SHIRT,0,0,0,0
W_AJILE_FFB_CASUAL_T SHIRT,0,0,0,0
W_AJILE_JACKET,0,0,0,0
W_AJILE_JACKETS,0,0,0,0
W_AJILE_SHORTS,4,0,1,3
W_AJILE_TWIN TEES,0,0,0,0
W_AJILE_WW_BOTTOM,6,0,0,6
W_AJILE_WW_BOTTOM_T,0,0,0,0
W_AJILE_WW_JACKET,0,0,0,0
W_AJILE_WW_SWEATSHIRT,6,0,0,6
W_AJILE_WW_SWEATSHIRT_T,0,0,0,0
W_ANNABELLE_ CHINOS & TREGGINGS,0,0,0,0
W_ANNABELLE_BOTTOM_CLUB,0,0,0,0
W_ANNABELLE_BOTTOM_FASHION,3,1,3,0
W_ANNABELLE_BOTTOM_FORMAL,2,0,2,0
W_ANNABELLE_BOTTOM_TROUSERS,8,0,0,8
W_ANNABELLE_BOTTOM_WIDE LEG,0,0,0,0
W_ANNABELLE_DRESS,12,0,11,1
W_ANNABELLE_DRESS_BODYCON,0,0,0,0
W_ANNABELLE_DRESS_CLUB,0,0,0,0
W_ANNABELLE_DRESS_OTHERS,0,0,0,0
W_ANNABELLE_JACKETS,0,0,0,0
W_ANNABELLE_SHIRT,14,0,14,0
W_ANNABELLE_SHIRT_CAREER,0,0,0,0
W_ANNABELLE_SHIRT_CAREER_3/4,3,0,0,3
W_ANNABELLE_SHIRT_CAREER_FS,3,0,0,3
W_ANNABELLE_SHIRT_CAREER_HS,2,0,0,2
W_ANNABELLE_SKIRTS,2,0,1,1
W_ANNABELLE_SUITS & BLAZERS,0,0,0,0
W_ANNABELLE_TOP,14,2,14,0
W_ANNABELLE_TOP_BASIC,0,0,0,0
W_ANNABELLE_TOP_CLUB,0,0,0,0
W_ANNABELLE_TOP_FASHION,0,0,0,0
W_ANNABELLE_TOP_SMART BUSINESS CASUALS,0,0,0,0
W_ANNABELLE_TREGGINGS,3,0,0,3
W_ANNABELLE_TREGGINGS_CP,4,0,0,4
W_ANNABELLE_WW_CARDIGAN,0,0,0,0
W_ANNABELLE_WW_FLAT KNIT,4,0,0,4
W_ANNABELLE_WW_JACKET,0,0,0,0
W_ANNABELLE_WW_SWEATER,0,0,0,0
W_BARE DENIM_CORE PLUS_SHIRT_3/4,5,0,0,5
W_BARE DENIM_CORE PLUS_SHIRT_HS,4,0,0,4
W_BARE DENIM_DENIM_CORE,0,0,0,0
W_BARE DENIM_DENIM_CORE PLUS,8,0,0,8
W_BARE DENIM_DENIM_F_NEW FIT,24,1,23,1
W_BARE DENIM_DENIM_F_REGULAR FIT,10,0,5,5
W_BARE DENIM_DENIM_FB,0,0,0,0
W_BARE DENIM_DRESS,2,0,1,1
W_BARE DENIM_JACKET,2,0,2,0
W_BARE DENIM_SHIRT,0,0,0,0
W_BARE DENIM_SHORTS,6,0,6,0
W_BARE DENIM_SKIRTS,0,0,0,0
W_BARE DENIM_SWEATSHIRTS,0,0,0,0
W_BARE DENIM_T SHIRT,0,0,0,0
W_BARE DENIM_TOP_KNIT,20,0,20,0
W_BARE DENIM_TOP_WOVEN,16,0,16,0
W_BARE DENIM_WW_CARDIGAN,1,0,0,1
W_BARE DENIM_WW_FLAT KNIT,6,0,0,6
W_BARE DENIM_WW_JACKET,0,0,0,0
W_BARE DENIM_WW_SWEATER,0,0,0,0
