STOCK LOCATION,Family,NPI sets,AVOID REF,Alternate Origin stock Location,Imposed Invalidate,Start Allocation Year,Start Allocation Month,Start Allocation day,Reported Year,Reported Month,Reported Day,BUL CONVERSION %-CORE
P689,880014096LIGHT GREEN,W_XS:2 S:4 M:4 L:4 XL:2 XXL:2,0,,,,,,2024,6,21,
P689,110146367DELLA ROBBIA BLUE,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110146623STAR WHITE,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110147803CAPULET OLIVE,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110145899WILLOW,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110146367WILLOW,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110147803ASPHALT,W_XS:2 S:2 M:2 L:2 XL:1,0,,,,,,2024,6,21,
P689,110148128MONUMENT,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145986SANGRIA,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145986DUSTY PINK,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110148128OIL GREEN,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145986STAR WHITE,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145986QUARRY,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145609WHITE,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145609BLACK,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110148128JET BLACK,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145987STAR WHITE,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145986LAVENDER LUSTRE,W_XS:1 S:3 M:3 L:3 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145631BLACK,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145650ANISE FLOWER,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145650MARSHMALLOW,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145684DESERT SAGE,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145684LENTIL SPROUT,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145684PRISTINE,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145684SEEDPEARL,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145715DESERT SAGE,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145829ANTIQUE WHITE,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145967DUTCH CANAL,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145991GREEN EYES,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110145992PAPYRUS,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
P689,110146035ANTHRACITE,W_XS:1 S:2 M:2 L:2 XL:1 XXL:1,0,,,,,,2024,6,21,
