Stock Location,Family,Assortment Group,Minimum Members Count,Minimum Preferred Count,Minimum Inventory,Reported Year,Reported Month,Reported Day
P689,880014096LIGHT GREEN,,4,2,6,2024,6,21
P689,110146367DELLA ROBBIA BLUE,,3,2,0,2024,6,21
P689,110146623STAR WHITE,,3,2,0,2024,6,21
P689,110147803CAPULET OLIVE,,3,2,0,2024,6,21
P689,110145899WILLOW,,3,2,0,2024,6,21
P689,110146367WILLOW,,3,2,0,2024,6,21
P689,110147803ASPHALT,,3,2,0,2024,6,21
P689,110148128MONUMENT,,4,2,7,2024,6,21
P689,110145986SANGRIA,,4,2,6,2024,6,21
P689,110145986DUSTY PINK,,4,2,6,2024,6,21
P689,110148128OIL GREEN,,4,2,7,2024,6,21
P689,110145986STAR WHITE,,4,2,6,2024,6,21
P689,110145986QUARRY,,4,2,6,2024,6,21
P689,110145609WHITE,,4,2,6,2024,6,21
P689,110145609BLACK,,4,2,6,2024,6,21
P689,110148128JET BLACK,,4,2,7,2024,6,21
P689,110145987STAR WHITE,,4,2,6,2024,6,21
P689,110145986LAVENDER LUSTRE,,4,2,6,2024,6,21
P689,110145631BLACK,,4,2,0,2024,6,21
P689,110145650ANISE FLOWER,,4,2,0,2024,6,21
P689,110145650MARSHMALLOW,,4,2,0,2024,6,21
P689,110145684DESERT SAGE,,4,2,0,2024,6,21
P689,110145684LENTIL SPROUT,,4,2,0,2024,6,21
P689,110145684PRISTINE,,4,2,0,2024,6,21
P689,110145684SEEDPEARL,,4,2,0,2024,6,21
P689,110145715DESERT SAGE,,4,2,0,2024,6,21
P689,110145829ANTIQUE WHITE,,4,2,0,2024,6,21
P689,110145967DUTCH CANAL,,4,2,0,2024,6,21
P689,110145991GREEN EYES,,4,2,0,2024,6,21
P689,110145992PAPYRUS,,4,2,0,2024,6,21
P689,110146035ANTHRACITE,,4,2,0,2024,6,21
P689,110146037DEEP DEPTHS,,4,2,0,2024,6,21
P689,110146043DUTCH CANAL,,4,2,0,2024,6,21
P689,110146044SEEDPEARL,,4,2,0,2024,6,21
P689,110146210FROSTY GREEN,,4,2,0,2024,6,21
P689,110146220MOONLESS NIGHT,,4,2,0,2024,6,21
P689,110146445HIGHRISE,,4,2,0,2024,6,21
P689,110146460JESTER RED,,4,2,0,2024,6,21
P689,110146494PALE BANANA,,4,2,0,2024,6,21
P689,110146619DEEP MAHOGANY,,4,2,0,2024,6,21
